№№,Маршрут,Время,пн,вт,ср,чт,пт,сб,вс
Пригород,Площадь Бангалор — Бровки,5:34,1,1,1,1,1,0,0
Пригород,Площадь Бангалор — Бровки,6:12,1,1,1,1,1,1,1
№ 1564-ТК,АВ Центральный — Семково,6:40,1,1,1,1,1,1,1
№ 485-ТК,Комаровский рынок — д. Бровки,6:40,1,1,1,1,1,1,1
№ 485-ТК,Комаровский рынок — д. Рогово,6:40,1,1,1,1,1,1,1
Пригород,Площадь Бангалор — Бовли,6:47,0,0,0,0,0,1,0
№ 264,"ул. Карастояновой — Семково",6:55,1,1,1,1,1,0,0
№ 485-ТК,Комаровский рынок — д. Бровки,7:10,1,1,1,1,1,1,1
№ 301,"ул. Карастояновой — Вышково",7:20,1,1,1,1,1,1,1
№ 485-ТК,Комаровский рынок — д. Бровки,7:35,1,1,1,1,1,1,1
№ 1589-ТК,АВ Центральный — с/т Трактор,7:37,1,1,1,1,1,1,1
№ 485-ТК,Комаровский рынок — д. Рогово,7:55,1,1,1,1,1,1,1
№ 280,"ул. Карастояновой — Казеково-2",8:13,0,0,0,0,0,1,1
№ 485-ТК,Комаровский рынок — д. Бровки,8:17,1,1,1,1,1,1,1
№ 1589-ТК,АВ Центральный — с/т Трактор,8:20,1,1,1,1,1,1,1
№ 215,"ул. Карастояновой — Бровки",8:35,1,1,1,1,1,0,1
№ 485-ТК,Комаровский рынок — д. Бровки,8:50,1,1,1,1,1,1,1
№ 485-ТК,Комаровский рынок — аг. Шершуны,9:10,1,1,1,1,1,1,1
№ 319,"ул. Карастояновой — Заславль",9:20,1,1,1,1,1,1,1
№ 485-ТК,Комаровский рынок — д. Бровки,9:25,1,1,1,1,1,1,1
№ 1589-ТК,АВ Центральный — с/т Трактор,9:30,1,1,1,1,1,1,1
№ 485-ТК,Комаровский рынок — д. Бровки,9:45,1,1,1,1,1,1,1
№ 485-ТК,Комаровский рынок — д. Бровки,10:05,1,1,1,1,1,1,1
№ 485-ТК,Комаровский рынок — д. Рогово,10:25,1,1,1,1,1,1,1
№ 328,"ул. Карастояновой — Головачи",10:29,0,1,0,0,1,1,1
№ 340,"ул. Карастояновой — Рогово",10:29,1,0,1,1,0,0,0
№ 1564-ТК,АВ Центральный — Семково,10:35,1,1,1,1,1,1,1
№ 280,"ул. Карастояновой — Казеково-2",10:36,0,0,0,0,0,1,0
№ 485-ТК,Комаровский рынок — д. Бровки,10:50,1,1,1,1,1,1,1
№ 264,"ул. Карастояновой — Семково",11:14,1,1,1,1,1,1,1
№ 485-ТК,Комаровский рынок — д. Бровки,11:20,1,1,1,1,1,1,1
№ 1589-ТК,АВ Центральный — с/т Трактор,11:40,1,1,1,1,1,1,1
№ 485-ТК,Комаровский рынок — д. Бровки,11:50,1,1,1,1,1,1,1
№ 485-ТК,Комаровский рынок — д. Бровки,12:15,1,1,1,1,1,1,1
№ 1564-ТК,АВ Центральный — Семково,12:35,1,1,1,1,1,1,1
№ 485-ТК,Комаровский рынок — д. Бровки,12:40,1,1,1,1,1,1,1
№ 485-ТК,Комаровский рынок — д. Бровки,13:10,1,1,1,1,1,1,1
№ 485-ТК,Комаровский рынок — аг. Шершуны,13:10,1,1,1,1,1,1,1
№ 215,"ул. Карастояновой — Бровки",13:24,0,1,1,0,1,0,0
№ 301,"ул. Карастояновой — Вышково",13:24,1,0,0,1,0,1,0
№ 485-ТК,Комаровский рынок — д. Бровки,13:25,1,1,1,1,1,1,1
№ 1589-ТК,АВ Центральный — с/т Трактор,13:50,1,1,1,1,1,1,1
№ 485-ТК,Комаровский рынок — д. Бровки,13:55,1,1,1,1,1,1,1
№ 485-ТК,Комаровский рынок — д. Рогово,13:55,1,1,1,1,1,1,1
№ 485-ТК,Комаровский рынок — д. Бровки,14:15,1,1,1,1,1,1,1
№ 1564-ТК,АВ Центральный — Семково,14:20,1,1,1,1,1,1,1
№ 485-ТК,Комаровский рынок — д. Селец,14:35,1,1,1,1,1,1,1
№ 485-ТК,Комаровский рынок — д. Рогово,15:00,1,1,1,1,1,1,1
№ 215,"ул. Карастояновой — Бровки",15:20,1,1,1,1,1,1,1
№ 485-ТК,Комаровский рынок — д. Бровки,15:30,1,1,1,1,1,1,1
№ 1589-ТК,АВ Центральный — с/т Трактор,15:45,1,1,1,1,1,1,1
№ 264,"ул. Карастояновой — Семково",15:53,1,1,1,1,1,1,1
№ 485-ТК,Комаровский рынок — д. Бровки,16:00,1,1,1,1,1,1,1
№ 1564-ТК,АВ Центральный — Семково,16:15,1,1,1,1,1,1,1
№ 485-ТК,Комаровский рынок — д. Бровки,16:20,1,1,1,1,1,1,1
№ 319,"ул. Карастояновой — Заславль",16:30,1,1,1,1,1,1,1
№ 485-ТК,Комаровский рынок — д. Бровки,16:40,1,1,1,1,1,1,1
№ 485-ТК,Комаровский рынок — аг. Шершуны,17:05,1,1,1,1,1,1,1
№ 1589-ТК,АВ Центральный — с/т Трактор,17:25,1,1,1,1,1,1,1
№ 280,"ул. Карастояновой — Казеково-2",17:29,0,0,0,0,0,1,1
№ 485-ТК,Комаровский рынок — д. Бровки,17:30,1,1,1,1,1,1,1
№ 215,"ул. Карастояновой — Бровки",17:55,1,1,1,1,1,1,0
№ 485-ТК,Комаровский рынок — д. Рогово,17:55,1,1,1,1,1,1,1
№ 1589-ТК,АВ Центральный — с/т Трактор (через Семково),18:00,1,1,1,1,1,1,1
№ 485-ТК,Комаровский рынок — д. Бровки,18:20,1,1,1,1,1,1,1
№ 301,"ул. Карастояновой — Вышково",18:25,1,1,1,1,1,1,1
№ 485-ТК,Комаровский рынок — аг. Шершуны,18:40,1,1,1,1,1,1,1
№ 485-ТК,Комаровский рынок — д. Бровки,19:05,1,1,1,1,1,1,1
№ 485-ТК,Комаровский рынок — аг. Шершуны,19:30,1,1,1,1,1,1,1
№ 1589-ТК,АВ Центральный — с/т Трактор,19:40,1,1,1,1,1,1,1
№ 328,"ул. Карастояновой — Головачи",19:47,0,1,0,0,1,1,1
№ 340,"ул. Карастояновой — Рогово",19:47,1,0,1,1,0,0,0
№ 485-ТК,Комаровский рынок — д. Бровки,19:50,1,1,1,1,1,1,1
№ 1564-ТК,АВ Центральный — Семково,20:10,1,1,1,1,1,1,1
№ 485-ТК,Комаровский рынок — д. Рогово,20:15,1,1,1,1,1,1,1
№ 215,"ул. Карастояновой — Бровки",20:38,1,1,1,1,1,0,0
№ 485-ТК,Комаровский рынок — д. Бровки,20:45,1,1,1,1,1,1,1
№ 485-ТК,Комаровский рынок — д. Бровки,21:05,1,1,1,1,1,1,1
№ 215,"ул. Карастояновой — Бровки",21:15,1,1,1,1,1,1,1
№ 485-ТК,Комаровский рынок — д. Бровки,21:30,1,1,1,1,1,1,1
№ 485-ТК,Комаровский рынок — д. Бровки,22:00,1,1,1,1,1,1,1
